timestamp,heart_rate_mean,heart_rate_std,heart_rate_max,steps_total,cumulative_steps_max,spo2_mean,spo2_min,sleeping_users_count,sleep_quality_mean,active_users_count,pm25,pm10,aqi,co2,temperature,humidity,wind_speed,pressure,precipitation,rainfall,location,hour,day_of_week,month,is_weekend,aqi_category,temp_category,high_heart_rate,low_spo2,high_pollution,health_risk,risk_category
2025-10-22 02:20:53.751808,57.927,7.02296169070364,80.1,1010,23,97.677,92.6,100,74.318,100,25.83,42.14,79.6,407.2,14.6,77.1,5.3,1034.19,0,0.0,hospital_C,2,2,10,0,Moderate,Mild,0,0,0,0,Low
2025-10-22 03:20:53.751808,57.718,7.158866509229633,84.0,981,38,97.924,93.6,100,77.667,100,40.17,58.94,111.9,414.3,24.2,75.0,5.5,1023.56,0,0.0,hospital_C,3,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 04:20:53.751808,58.695,7.359888215554265,80.7,939,47,97.779,94.5,100,73.538,100,41.67,60.86,115.7,412.5,22.7,69.4,7.7,1007.49,0,0.0,hospital_C,4,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 05:20:53.751808,58.193000000000005,7.753972654013679,83.6,1019,59,97.687,92.4,100,75.113,100,45.27,65.14,124.7,407.2,26.0,79.1,8.6,1032.9,1,0.95,hospital_C,5,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 06:20:53.751808,58.531000000000006,8.26636967941597,82.1,53387,915,98.254,93.0,100,72.883,100,49.22,69.74,134.5,414.0,29.5,74.7,6.8,1020.99,0,0.0,hospital_C,6,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 07:20:53.751808,82.26700000000001,12.492276846439191,111.4,53385,1753,97.979,93.5,0,0.0,100,68.61,97.82,163.9,429.3,31.2,61.0,8.3,980.0,0,0.0,hospital_C,7,2,10,0,Unhealthy,Hot,0,0,1,0,Low
2025-10-22 08:20:53.751808,81.35300000000001,12.005314101124831,105.8,53795,2576,98.269,94.0,0,0.0,100,45.28,70.69,124.7,416.8,32.1,49.6,8.9,1020.39,0,0.0,hospital_C,8,2,10,0,Sensitive,Hot,0,0,1,0,Low
2025-10-22 09:20:53.751808,82.37700000000001,10.612465083641744,114.4,53961,3423,97.787,93.8,0,0.0,100,60.11,87.56,155.0,416.4,28.4,61.3,10.5,1023.77,0,0.0,hospital_C,9,2,10,0,Unhealthy,Warm,0,0,1,0,Low
2025-10-22 10:20:53.751808,82.82700000000001,11.628307979437354,110.3,53867,4334,97.847,94.0,0,0.0,100,51.64,74.68,140.6,412.9,31.6,61.5,11.8,982.18,0,0.0,hospital_C,10,2,10,0,Sensitive,Hot,0,0,1,0,Low
2025-10-22 11:20:53.751808,85.979,13.795865981583692,111.1,53652,5183,97.689,94.1,0,0.0,100,46.55,68.46,127.9,413.6,31.4,64.1,12.1,997.79,0,0.0,hospital_C,11,2,10,0,Sensitive,Hot,0,0,1,0,Low
